Nome;Escalao;Email;NIB 1;NIB 2;NIB 3
Pedro Rodrigues;Sub 12;Ped@Sub 12.com;003300004574971011305;1,01101E+20;4,94849E+20
Helder Martins;Sub 12;Hel@Sub 12.com;7,21011E+20;7,21011E+20;
Tiago Costa;Sub 12;Tia@Sub 12.com;8,4106E+20;8,4106E+20;
Ioann Noreira;Sub 12;Ioa@Sub 12.com;7,3112E+20;7,3112E+20;
Gabriel Mandim;Sub 12;Gab@Sub 12.com;7,19799E+20;7,19799E+20;
Diogo Costa;Sub 12;Dio@Sub 12.com;6,81051E+20;;
Martim Teixeira;Sub 12;Mar@Sub 12.com;7,79711E+20;;
Rafael Costa;Sub 12;Raf@Sub 12.com;8,2971E+20;;
Paulo Cardoso;Sub 19;Pau@Sub 19.com;8,09712E+20;;
Afonso Sousa;Sub 19;Afo@Sub 19.com;6,51021E+20;;
Ivo caeiro;Sub 19;Ivo@Sub 19.com;7,31181E+20;;
Gonçalo Silva;Sub 19;Gon@Sub 19.com;7,11111E+20;;
Matias Silva;Sub 19;Mat@Sub 19.com;7,79712E+20;;
Jorge Teixeira;Sub 19;Jor@Sub 19.com;7,41111E+20;7,41111E+20;4,94949E+20
Claudio Pinto;Sub 19;Cla@Sub 19.com;6,7109E+20;;
Rui Rainha;Sub 19;Rui@Sub 19.com;8,21171E+20;;
Rafael Mendes;Sub 19;Raf@Sub 19.com;8,2971E+20;;
Gonçalo Sá;Sub 19;Gon@Sub 19.com;7,11111E+20;;
Gonçalo Peneda;Sub 19;Gon@Sub 19.com;7,11111E+20;7,11111E+20;4,94949E+20
Rodrigo Gomes;Sub 19;Rod@Sub 19.com;8,21111E+20;;
Caua;Sub 19;Cau@Sub 19.com;6,79712E+20;;
Leandro;Sub 19;Lea@Sub 19.com;7,6102E+20;;
gonçalo pereira;Sub 8;gon@Sub 8.com;1,03111E+20;;
Lucas;Sub 8;Luc@Sub 8.com;7,6118E+20;;
pedro henrique;Sub 8;ped@Sub 8.com;1,12101E+20;;
santiago;Sub 8;san@Sub 8.com;1,15971E+20;;
Afonso Sousa;Sub 8;Afo@Sub 8.com;6,51021E+20;;
leça;senior;leç@senior.com;1,08101E+20;;
rosas;senior;ros@senior.com;1,14111E+20;;
tiago metade;senior;tia@senior.com;1,16106E+20;;
juninho metade;senior;jun@senior.com;1,06117E+20;;
mane;senior;man@senior.com;1,09971E+20;;
gazuza;senior;gaz@senior.com;1,03971E+20;;
