Nome;Escalao;Email;NIB 1;NIB 2;NIB 3
Simão Barbosa;Sub 15;Sim@Sub 15.com;831051096483117983249;105109648311798324953;494853494857545256514
José Coelho;Sub 15;Jos@Sub 15.com;741111156483117983249;111115648311798324953;494949494953545256514
João Santos;Sub 15;Joã@Sub 15.com;741112276483117983249;111227648311798324953;494949505055545256514
Daniel Macedo;Sub 15;Dan@Sub 15.com;689711064831179832495;971106483117983249534;
Duarte Matos;Sub 15;Dua@Sub 15.com;681179764831179832495;117976483117983249534;
Rafael Magalhães;Sub 15;Raf@Sub 15.com;829710264831179832495;971026483117983249534;
Martim Pereira;Sub 15;Mar@Sub 15.com;779711464831179832495;971146483117983249534;
David Barbosa;Sub 15;Dav@Sub 15.com;689711864831179832495;971186483117983249534;
Filipe Bras;Sub 15;Fil@Sub 15.com;701051086483117983249;105108648311798324953;
João Pinheiro;Sub 17;Joã@Sub 17.com;741112276483117983249;111227648311798324955;
Duarte ;Sub 17;Dua@Sub 17.com;681179764831179832495;117976483117983249554;
Jaime;Sub 17;Jai@Sub 17.com;749710564831179832495;971056483117983249554;
Gonçalo Corridas;Sub 17;Gon@Sub 17.com;711111106483117983249;111110648311798324955;
Gaspar;Sub 17;Gas@Sub 17.com;719711564831179832495;;
Edgar;Sub 17;Edg@Sub 17.com;691001036483117983249;;
Ruben;Sub 17;Rub@Sub 17.com;821179864831179832495;;
Bogas;Sub 17;Bog@Sub 17.com;661111036483117983249;;
Miguel;Sub 17;Mig@Sub 17.com;771051036483117983249;;
João Vermelho;Sub 17;Joã@Sub 17.com;741112276483117983249;;
